channel_id,name,telemetr_slug,telemetr_url,telegram_url_inferred,subscribers,growth_24h,growth_30d,views,engagement_rate,raw_cells
1827108721,Placement Lelo,placementlelo,https://telemetr.io/en/channels/1827108721-placementlelo,https://t.me/placementlelo,15565682,83,1246,25019,16.07,9 Placement Lelo Public channel Username for Pro || 155 656 82 % 17 % || Buy Ad || 83 || 1 246 ||  || 25 019 || 16.07 % || Career
1409153549,Jobs | Internships | Placement | Interviews,getjobss,https://telemetr.io/en/channels/1409153549-getjobss,https://t.me/getjobss,11333082,13,318,4628,4.08,22 Jobs | Internships | Placement | Interviews Public channel Username for Pro || 113 330 82 % 17 % || Buy Ad || 13 || 318 ||  || 4 628 || 4.08 % || Career
1913125963,Data Analyst Jobs,jobs_sql,https://telemetr.io/en/channels/1913125963-jobs_sql,https://t.me/jobs_sql,9130282,8,157,4332,4.74,38 Data Analyst Jobs Public channel Username for Pro || 91 302 82 % 17 % || Buy Ad || 8 || 157 ||  || 4 332 || 4.74 % || Career
1882068725,Placement Lelo 2.0,off_campus_jobs_and_internships,https://telemetr.io/en/channels/1882068725-off_campus_jobs_and_internships,https://t.me/off_campus_jobs_and_internships,6502885,13,462,7923,12.18,59 Placement Lelo 2.0 Public channel Username for Pro || 65 028 85 % 14 % ||  || 13 || 462 ||  || 7 923 || 12.18 % || Career
2083547614,Software Developer Jobs & IT Internships,internshiptojobs,https://telemetr.io/en/channels/2083547614-internshiptojobs,https://t.me/internshiptojobs,4840585,10,270,3049,6.3,98 Software Developer Jobs & IT Internships Public channel Username for Pro || 48 405 85 % 14 % || Buy Ad || 10 || 270 ||  || 3 049 || 6.30 % || Career
1184271074,job4freshers.co.in,job4fresherss,https://telemetr.io/en/channels/1184271074-job4fresherss,https://t.me/job4fresherss,323175,202,4368,4298,1.33,1 job4freshers.co.in Public channel Username for Pro || 323 175 ||  || 202 || 4 368 ||  || 4 298 || 1.33 % || Career
1440044602,Jobsgovind Govt & Private Job Updates,jobsgovind,https://telemetr.io/en/channels/1440044602-jobsgovind,https://t.me/jobsgovind,289340,221,5686,5585,1.93,2 Jobsgovind Govt & Private Job Updates Public channel Username for Pro || 289 340 ||  || 221 || 5 686 ||  || 5 585 || 1.93 % || Career
1242584289,Freshershunt - Off Campus Drive Updates,freshershunt,https://telemetr.io/en/channels/1242584289-freshershunt,https://t.me/freshershunt,278877,112,1866,3927,1.41,3 Freshershunt - Off Campus Drive Updates Public channel Username for Pro || 278 877 ||  || 112 || 1 866 ||  || 3 927 || 1.41 % || Career
1686595235,Free Job Alert,freejobalertofficially,https://telemetr.io/en/channels/1686595235-freejobalertofficially,https://t.me/freejobalertofficially,275558,91,1840,20934,7.6,4 Free Job Alert Public channel Username for Pro || 275 558 ||  || 91 || 1 840 ||  || 20 934 || 7.60 % || Career
1502415672,Seekeras,seekeras,https://telemetr.io/en/channels/1502415672-seekeras,https://t.me/seekeras,226959,198,3857,2316,1.02,5 Seekeras Public channel Username for Pro || 226 959 ||  || 198 || 3 857 ||  || 2 316 || 1.02 % || Career
